RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
ERBB2	83	50	83	48	57	38
ERBB3	30	25	9	19	10	32
ERBB4	54	21	33	13	17	19
ERBIN	241	205	294	308	355	238
ERC1	4194	2962	3757	4565	4129	4346
ERC2	35	30	27	35	57	40
ERCC1	113	58	69	105	85	64
ERCC2	61	29	47	53	73	55
ERCC3	277	288	335	344	374	279
ERCC4	598	458	532	540	506	517
ERCC5	171	172	150	175	200	157
ERCC6	206	176	209	259	194	325
ERCC6L	148	108	99	92	114	60
ERCC6L2	496	434	509	566	497	626
ERCC8	237	254	240	358	345	268
EREG	0	0	0	0	0	0
ERF	24	9	8	19	29	18
ERFE	49	29	54	76	69	87
ERFL	0	0	0	0	0	0
ERG	0	7	0	0	5	4
ERG28	65	72	57	51	68	47
ERGIC1	166	139	211	173	167	98
ERGIC2	925	817	876	917	984	877
ERGIC3	120	98	140	129	127	107
ERH	711	565	513	502	765	512
ERI1	14	17	7	14	16	6
ERI2	198	215	228	302	273	359
ERI3	49	53	49	40	26	53
ERICH1	90	102	123	126	125	93
ERICH2	6	1	3	3	0	0
ERICH3	0	0	0	0	0	0
ERICH4	0	5	0	0	0	0
ERICH5	47	11	30	51	17	29
ERICH6	0	0	0	0	0	0
ERICH6B	0	0	0	0	0	0
ERLEC1	248	178	184	236	274	243
ERLIN1	167	201	229	241	236	264
ERLIN2	107	119	80	142	148	110
ERMAP	20	20	9	35	23	18
ERMARD	0	0	0	2	14	0
ERMN	0	0	0	0	0	0
ERMP1	125	74	69	62	95	91
ERN1	86	67	27	83	59	90
ERN2	0	0	2	0	0	0
ERO1A	250	193	205	243	222	267
ERO1B	72	30	93	97	81	123
ERP27	0	0	0	0	0	0
ERP29	223	170	217	364	333	336
ERP44	185	135	181	437	289	294
ERRFI1	219	216	182	273	277	242
ERV3-1	2	8	0	0	5	1
ERVFRD-1	0	0	0	0	0	0
ERVH48-1	0	0	0	0	0	0
ERVK3-1	307	205	254	297	267	321
ERVMER34-1	25	21	23	18	49	16
ERVV-1	0	0	0	0	0	0
ERVV-2	0	0	0	0	0	0
ERVW-1	0	0	0	0	0	0
ESAM	2	2	6	6	0	8
ESCO1	176	68	126	139	126	176
ESCO2	338	258	265	272	323	201
ESD	1817	1454	1753	1747	1759	1561
ESF1	86	97	61	105	91	43
ESM1	0	0	0	0	0	0
ESPL1	262	236	281	241	177	181
ESPN	0	0	0	0	0	0
ESPNL	0	0	0	4	0	0
ESR1	0	0	0	0	8	1
ESR2	5	10	2	2	0	0
ESRP1	1	2	0	0	0	4
ESRP2	83	97	75	145	132	138
ESRRA	187	138	122	126	132	137
ESRRB	4	0	12	0	0	1
ESRRG	0	0	4	0	0	0
ESS2	248	249	183	234	172	252
ESX1	0	1	0	12	0	7
ESYT1	140	53	88	135	152	125
ESYT2	154	105	150	82	159	98
ESYT3	0	0	0	0	0	0
ETAA1	271	266	170	325	340	257
ETDA	0	0	0	0	0	0
ETDB	0	0	0	0	0	0
ETF1	570	565	419	646	564	579
ETFA	1644	1259	1287	1591	1459	1421
ETFB	106	58	57	103	76	96
ETFBKMT	29	8	5	10	14	14
ETFDH	65	92	74	118	133	75
ETFRF1	105	137	135	110	131	152
ETHE1	126	91	64	68	96	109
ETNK1	1020	842	979	1176	1007	1057
ETNK2	62	36	63	50	55	36
ETNPPL	0	0	9	10	1	2
ETS1	20	14	9	27	26	6
ETS2	470	336	385	432	372	378
ETV1	81	124	119	108	128	82
ETV2	3	12	13	5	8	12
ETV3	180	140	147	272	282	174
ETV3L	0	0	0	0	0	0
ETV4	19	20	19	30	5	20
ETV5	323	258	205	425	397	316
ETV6	101	73	143	64	112	103
ETV7	25	8	11	43	26	39
EVA1A	0	1	0	1	0	3
EVA1B	6	16	11	9	11	12
EVA1C	27	10	30	18	19	54
EVC	22	19	42	29	14	17
EVC2	0	0	0	0	0	0
EVI2A	0	0	0	0	0	5
EVI2B	0	0	0	0	0	0
EVI5	133	151	199	126	159	139
EVI5L	60	27	27	25	24	29
EVL	182	163	216	255	223	249
EVPL	0	0	0	0	0	0
EVPLL	0	0	0	0	0	0
EVX1	0	0	0	0	0	0
EVX2	3	0	0	0	9	0
EWSR1	587	425	536	600	647	592
EXD1	0	0	0	0	0	0
EXD2	45	47	56	53	50	38
EXD3	50	41	38	37	38	42
EXO1	296	209	240	306	347	260
EXO5	89	91	59	65	76	74
EXOC1	57	50	62	79	81	51
EXOC1L	0	1	0	2	9	0
EXOC2	105	77	80	94	141	74
EXOC3	79	79	37	67	74	73
EXOC3L1	0	0	0	0	0	0
EXOC3L2	0	0	0	0	0	0
EXOC3L4	0	0	0	0	0	0
EXOC4	341	322	397	333	364	376
EXOC5	404	343	293	408	446	328
EXOC6	586	511	533	649	584	590
EXOC6B	262	183	215	280	286	211
EXOC7	197	114	145	158	130	117
EXOC8	449	378	419	487	426	489
EXOG	290	274	278	475	332	399
EXOSC1	183	107	158	253	214	243
EXOSC10	301	293	286	327	307	355
EXOSC2	626	386	554	569	579	503
EXOSC3	481	429	414	388	336	272
EXOSC4	203	116	86	165	160	200
EXOSC5	138	148	145	244	214	200
EXOSC6	1702	1327	1366	1599	1315	1273
EXOSC7	135	115	105	82	176	132
EXOSC8	475	304	490	799	905	667
EXOSC9	520	408	319	351	424	422
EXPH5	137	68	114	119	105	132
EXT1	448	337	332	503	465	421
EXT2	93	137	81	125	193	119
EXTL1	0	0	0	0	0	0
EXTL2	174	142	192	152	146	148
EXTL3	195	140	121	131	201	159
EYA1	52	32	63	78	122	94
EYA2	16	21	18	20	4	15
EYA3	222	190	209	189	165	162
EYA4	211	203	235	200	231	213
EYS	18	9	9	18	2	13
EZH1	168	87	125	82	93	111
EZH2	418	287	388	402	437	411
EZHIP	0	0	7	0	0	0
EZR	461	381	352	371	349	359
F10	2	0	2	0	5	0
F11	0	0	0	0	0	1
F11R	144	82	109	105	137	127
F12	29	14	12	8	0	4
F13A1	0	0	0	0	0	0
F13B	0	0	0	0	0	0
F2	0	0	0	7	0	0
F2R	162	114	138	135	120	101
F2RL1	133	137	159	152	148	132
F2RL2	0	0	0	0	3	0
F2RL3	0	0	0	0	0	0
F3	4	11	3	16	39	15
F5	0	0	0	0	0	0
F7	0	0	0	0	0	0
F8	47	26	21	28	37	46
F8A1	6	7	1	6	7	11
F8A2	0	0	0	0	0	0
F8A3	0	0	0	0	0	0
F9	0	0	0	0	0	0
FA2H	18	12	15	26	5	10
FAAH	10	0	7	16	6	0
FAAH2	5	0	4	5	15	14
FAAP100	48	25	42	80	34	45
FAAP20	56	90	79	82	51	71
FAAP24	251	193	175	136	183	168
FABP1	0	0	0	0	0	0
FABP12	0	0	0	0	0	0
FABP2	0	0	0	0	0	0
FABP3	0	0	0	0	0	0
FABP4	0	0	0	0	0	0
FABP5	0	0	0	0	9	0
FABP6	0	0	0	0	0	0
FABP7	0	0	0	0	0	0
FABP9	0	0	0	0	0	0
FADD	314	226	248	199	236	193
FADS1	281	175	190	259	212	266
FADS2	117	102	154	110	126	94
FADS3	12	9	13	12	7	4
FADS6	0	3	0	0	0	0
FAF1	334	277	251	335	245	230
FAF2	884	708	886	879	708	813
FAH	37	18	48	47	7	13
FAHD1	487	432	453	448	479	433
FAHD2A	73	33	37	31	29	41
FAHD2B	7	19	4	8	46	25
FAIM	140	124	138	150	118	180
FAIM2	0	0	0	0	0	1
FAM102A	42	53	66	48	65	55
FAM102B	40	34	60	23	9	9
FAM104A	348	280	276	367	385	348
FAM104B	49	39	27	30	38	50
FAM107A	0	0	0	0	0	0
FAM107B	603	466	537	393	454	438
FAM110A	57	13	33	35	52	21
FAM110B	38	38	33	45	96	39
FAM110C	5	14	9	1	0	6
FAM110D	1	1	0	0	0	0
FAM111A	31	33	4	32	43	8
FAM111B	475	356	492	569	431	530
FAM114A1	8	4	8	6	0	2
FAM114A2	92	73	55	97	63	77
FAM117A	131	99	82	101	121	78
FAM117B	88	64	69	87	95	121
FAM118A	198	138	200	193	251	189
FAM118B	127	82	67	115	107	107
FAM120A	1153	881	1082	997	993	846
FAM120AOS	512	277	311	320	388	363
FAM120B	0	0	0	0	0	0
FAM120C	209	185	151	175	212	121
FAM124A	33	72	65	51	98	59
FAM124B	0	0	0	0	0	0
FAM126A	331	256	311	418	338	374
FAM126B	335	282	310	408	339	409
FAM131A	62	47	37	70	26	84
FAM131B	3	0	0	0	0	0
FAM131C	4	6	0	0	0	3
FAM133A	0	2	0	0	0	0
FAM133B	413	411	450	541	534	508
FAM135A	339	232	273	349	316	365
FAM135B	6	0	0	7	0	7
FAM136A	546	453	417	343	349	368
FAM13A	396	277	334	369	327	379
FAM13B	130	76	91	144	143	122
FAM13C	73	59	71	95	54	81
FAM149A	2	5	0	6	0	16
FAM149B1	33	16	45	21	18	38
FAM151A	0	0	0	0	0	0
FAM151B	38	32	26	45	51	62
FAM153A	0	0	0	0	0	0
FAM153B	0	0	0	0	0	0
FAM156A	6	4	4	0	11	2
FAM156B	0	0	0	0	0	0
FAM161A	260	197	254	334	341	255
FAM161B	15	13	4	21	21	3
FAM162A	282	192	252	258	221	249
FAM162B	0	0	0	0	0	0
FAM163A	0	0	2	1	0	1
FAM163B	10	3	0	0	3	0
FAM166A	0	0	0	0	0	0
FAM166B	0	0	0	0	0	0
FAM166C	0	0	0	0	0	0
FAM167A	0	0	0	0	0	0
FAM167B	1	0	0	0	4	2
FAM168A	61	74	107	41	45	49
FAM168B	616	455	529	593	571	533
FAM169A	598	478	414	703	702	634
FAM170A	0	0	0	0	0	0
FAM170B	0	0	0	0	0	0
FAM171A1	591	376	409	463	483	387
FAM171A2	25	8	18	17	14	13
FAM171B	67	85	51	73	53	36
FAM172A	1103	776	853	953	932	899
FAM174A	118	139	60	129	87	87
FAM174B	55	39	75	97	127	151
FAM174C	370	288	250	321	310	274
FAM177A1	451	301	378	374	344	378
FAM177B	0	0	0	0	0	0
FAM178B	0	0	0	0	0	0
FAM180A	0	0	0	0	0	0
FAM180B	0	0	0	0	0	0
FAM181A	0	0	0	0	0	0
FAM181B	19	12	17	33	7	12
FAM183A	4	0	0	0	0	0
FAM184A	255	187	204	236	179	160
FAM184B	9	9	13	12	3	5
FAM185A	181	69	139	201	173	151
FAM186A	0	0	2	0	0	0
FAM186B	0	0	0	1	0	4
FAM187A	22	15	17	22	22	10
FAM187B	0	0	0	0	0	0
FAM189A1	0	0	0	0	0	0
FAM189A2	21	8	7	29	12	27
FAM189B	0	3	6	0	0	0
FAM193A	410	229	358	384	370	336
FAM193B	258	209	158	234	149	197
FAM199X	200	168	164	205	156	244
FAM200A	118	66	74	147	90	96
FAM200B	54	37	20	46	55	45
FAM204A	307	235	286	436	450	347
FAM205A	0	0	0	0	0	0
FAM205C	0	0	0	0	0	0
FAM209A	0	0	12	0	8	0
FAM209B	0	0	15	0	0	0
FAM20A	2	3	0	0	0	0
FAM20B	375	272	292	284	227	306
FAM20C	0	0	0	0	0	0
FAM210A	254	184	214	329	295	198
FAM210B	262	285	290	211	232	172
FAM214A	241	135	217	248	269	207
FAM214B	22	3	0	15	23	7
FAM216A	682	580	589	648	622	663
FAM216B	0	0	0	0	0	0
FAM217A	0	0	0	0	0	0
FAM217B	723	585	597	443	426	419
FAM219A	157	136	135	118	130	106
FAM219B	311	279	294	281	289	326
FAM220A	197	136	124	124	147	170
FAM221A	98	65	121	99	54	121
FAM221B	0	0	0	0	0	0
FAM222A	114	94	71	135	120	87
FAM222B	633	431	424	415	428	311
FAM227A	29	28	33	61	25	44
FAM227B	13	43	58	32	38	34
FAM228A	2	5	0	4	0	0
FAM228B	4	5	5	7	0	0
FAM229A	27	32	11	46	50	54
FAM229B	73	67	39	58	52	46
FAM234A	125	78	31	63	91	71
FAM234B	55	54	92	97	143	84
FAM236A	0	0	0	0	0	0
FAM236B	0	0	0	0	0	0
FAM236C	0	0	0	0	0	0
FAM236D	0	0	0	0	0	0
FAM237A	0	0	0	0	0	0
FAM237B	0	2	0	0	0	0
FAM240A	0	0	0	0	0	0
FAM240B	0	0	0	0	0	0
FAM240C	0	0	0	0	0	0
FAM241A	128	89	96	133	201	96
FAM241B	226	139	163	130	165	127
FAM243A	0	0	0	0	0	0
FAM243B	0	0	0	0	0	0
FAM246C	0	0	0	1	0	0
FAM24A	0	0	0	0	0	0
FAM24B	59	21	46	170	76	89
FAM25A	0	0	0	0	0	0
FAM25C	0	0	0	0	0	0
FAM25G	0	0	0	0	0	0
FAM32A	468	387	393	330	402	263
FAM3A	49	19	26	15	71	37
FAM3B	1	0	0	3	0	0
FAM3C	171	148	144	241	186	150
FAM3D	0	0	0	0	0	0
FAM43A	91	64	83	84	84	82
FAM43B	10	4	3	0	0	2
FAM47A	0	0	0	0	0	0
FAM47B	0	0	0	0	0	0
FAM47C	0	0	0	0	0	0
FAM47E	4	0	2	0	16	2
FAM47E-STBD1	65	44	33	56	87	74
FAM50A	53	48	24	45	56	58
FAM50B	0	0	0	0	0	0
FAM53A	0	0	0	0	0	4
FAM53B	153	121	152	88	131	112
FAM53C	621	474	474	809	576	518
FAM71A	0	0	0	0	0	0
FAM71B	0	0	0	0	0	0
FAM71C	0	0	0	0	0	0
FAM71D	665	448	509	612	524	601
FAM71E1	8	11	14	13	5	7
FAM71E2	0	0	0	0	0	0
FAM71F1	2	0	0	0	0	0
FAM71F2	0	0	0	2	0	0
FAM72A	6	8	6	2	3	6
FAM72B	0	2	0	0	0	0
FAM72C	36	5	22	23	8	23
FAM72D	42	64	59	29	22	26
FAM76A	179	126	157	265	228	165
FAM76B	235	254	218	385	467	259
FAM78A	20	17	8	13	4	7
FAM78B	0	0	3	0	0	3
FAM81A	20	21	2	2	6	6
FAM81B	0	2	0	2	0	5
FAM83A	0	0	0	0	0	0
FAM83B	103	64	41	19	52	54
FAM83C	0	0	0	0	0	0
FAM83D	568	395	508	270	313	282
FAM83E	0	3	0	0	0	0
FAM83F	3	0	0	0	0	0
FAM83G	97	48	45	73	116	108
FAM83H	0	0	0	0	0	0
FAM86B1	0	0	0	0	1	2
FAM86B2	0	0	0	0	0	0
FAM89A	1181	859	885	1064	1308	1065
FAM89B	139	168	80	136	154	94
FAM8A1	512	463	489	381	442	379
FAM90A1	3	10	2	4	2	0
FAM90A26	0	0	0	0	0	0
FAM91A1	213	220	203	193	239	217
FAM95C	20	11	16	7	16	2
FAM98A	163	114	159	212	278	147
FAM98B	333	232	299	285	291	281
FAM98C	112	50	66	51	136	102
FAM9A	0	0	0	0	0	0
FAM9B	0	0	0	0	0	0
FAM9C	0	0	0	0	0	0
FAN1	6	0	0	2	0	0
FANCA	333	179	259	391	351	363
FANCB	194	157	215	287	289	240
FANCC	229	170	224	258	256	340
FANCD2	626	510	503	726	674	625
FANCD2OS	0	6	0	4	0	1
FANCE	187	176	194	280	200	286
FANCF	203	120	173	210	153	168
FANCG	147	79	109	147	125	106
FANCI	334	265	338	337	357	285
FANCL	251	200	295	310	330	342
FANCM	284	239	278	318	367	239
FANK1	0	0	0	0	0	0
FAP	2	0	1	0	0	0
FAR1	390	381	378	412	451	450
FAR2	84	90	51	102	93	100
FARP1	337	232	300	261	362	346
FARP2	247	204	188	224	170	191
FARS2	115	88	156	165	100	166
FARSA	389	321	333	397	482	480
FARSB	249	251	273	423	421	303
FAS	105	79	66	89	94	71
FASLG	0	0	0	0	0	0
FASN	440	325	395	450	439	392
FASTK	152	80	107	159	128	101
FASTKD1	82	137	93	114	68	118
FASTKD2	146	109	160	151	116	127
FASTKD3	269	247	262	284	354	328
FASTKD5	329	334	303	233	197	248
FAT1	149	82	90	135	206	100
FAT2	0	0	0	0	0	0
FAT3	98	95	145	136	86	54
FAT4	13	17	19	14	23	17
FATE1	0	0	0	0	0	0
FAU	1507	1009	1238	1435	1575	1368
FAXC	124	116	137	155	176	120
FAXDC2	2	12	11	10	2	10
FBF1	82	55	65	63	41	58
FBH1	292	175	190	281	218	257
FBL	5	5	0	3	0	3
FBLIM1	155	75	91	78	95	70
FBLL1	8	6	11	47	22	35
FBLN1	10	22	5	15	6	33
FBLN2	0	0	0	0	0	0
FBLN5	19	22	25	16	5	12
FBLN7	0	0	0	0	0	1
FBN1	52	46	52	37	26	50
FBN2	366	243	278	278	327	264
FBN3	0	0	0	0	0	0
FBP1	0	0	0	0	0	0
FBP2	0	0	0	0	0	0
FBRS	399	312	364	394	302	301
FBRSL1	388	349	348	339	285	278
FBXL12	119	102	64	150	87	150
FBXL13	2	0	0	0	0	0
FBXL14	0	0	3	0	0	0
FBXL15	78	101	58	100	136	141
FBXL16	95	30	42	63	33	34
FBXL17	42	43	29	58	45	21
FBXL18	295	155	229	204	198	182
FBXL19	22	16	13	13	29	27
FBXL2	63	58	92	58	67	86
FBXL20	276	244	255	336	263	304
FBXL22	17	10	18	10	15	7
FBXL3	493	368	412	609	616	531
FBXL4	76	75	89	85	69	82
FBXL5	265	225	264	286	249	255
FBXL6	0	0	0	0	0	0
FBXL7	0	0	0	0	0	0
FBXL8	3	0	5	0	4	4
FBXO10	68	78	46	63	77	94
FBXO11	141	173	146	196	168	156
FBXO15	3	3	4	0	0	1
FBXO16	456	475	401	508	438	431
FBXO17	0	0	0	0	0	0
FBXO2	0	0	1	0	0	0
FBXO21	683	642	566	645	565	573
FBXO22	495	444	469	605	622	521
FBXO24	0	3	0	2	12	0
FBXO25	99	115	54	119	98	76
FBXO27	23	20	55	23	24	29
FBXO28	509	480	462	486	472	473
FBXO3	137	118	105	126	139	84
FBXO30	249	221	234	398	316	258
FBXO31	150	128	151	124	104	152
FBXO32	77	76	68	78	76	107
FBXO33	429	329	360	305	397	331
FBXO34	25	24	62	86	106	71
FBXO36	0	0	0	0	3	3
FBXO38	131	60	92	82	111	74
FBXO39	0	0	0	0	0	0
FBXO4	232	171	209	362	329	286
FBXO40	0	0	0	0	0	0
FBXO41	26	38	3	14	11	23
FBXO42	135	95	129	158	128	122
FBXO43	13	6	13	2	0	12
FBXO44	48	42	31	34	57	48
FBXO45	900	764	789	918	867	794
FBXO46	216	134	133	202	182	138
FBXO47	0	0	0	0	0	0
FBXO48	22	25	37	7	68	34
FBXO5	728	524	570	986	876	944
FBXO6	8	7	0	11	17	1
FBXO7	566	411	467	399	389	403
FBXO8	51	44	54	79	65	78
FBXO9	454	365	418	391	371	402
FBXW10	1	2	0	0	0	3
FBXW11	365	356	394	364	399	356
FBXW12	0	0	0	6	0	0
FBXW2	299	249	340	301	199	236
FBXW4	63	27	24	33	63	56
FBXW5	118	112	63	180	108	170
FBXW7	431	381	423	388	361	422
FBXW8	30	15	21	19	41	9
FBXW9	37	28	39	29	52	51
FCAMR	0	0	0	0	0	0
FCAR	0	0	0	0	0	0
FCER1A	0	0	0	0	0	0
FCER1G	0	4	0	0	3	2
FCER2	0	0	0	0	0	0
FCF1	234	128	257	271	275	249
FCGBP	0	0	0	0	0	0
FCGR1A	0	0	0	0	0	0
FCGR1B	0	0	0	0	0	0
FCGR2A	8	18	12	12	31	0
FCGR2B	0	0	0	0	0	0
FCGR3A	0	0	0	0	0	0
FCGR3B	0	0	0	0	0	0
FCGRT	9	27	14	23	0	22
FCHO1	0	6	2	0	0	1
FCHO2	178	158	171	188	218	197
FCHSD1	13	1	0	1	0	1
FCHSD2	192	110	172	184	131	210
FCMR	5	2	6	1	0	5
FCN1	0	0	0	0	0	0
FCN2	0	0	0	0	0	0
FCN3	0	0	0	0	0	0
FCRL1	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0
FCRL3	0	0	0	0	0	0
FCRL4	0	0	0	0	0	0
FCRL5	0	6	0	0	0	0
FCRL6	0	0	0	0	0	0
FCRLA	0	0	0	0	0	4
FCRLB	6	2	4	12	17	10
FCSK	6	13	19	12	12	11
FDCSP	0	0	0	0	0	0
FDFT1	4	11	2	4	8	3
FDPS	428	289	324	449	512	372
FDX1	373	261	285	338	262	330
FDX2	73	52	53	61	40	63
FDXACB1	35	49	38	53	26	47
FDXR	9	42	20	17	53	26
FECH	154	165	209	184	227	158
FEM1A	394	373	313	399	293	353
FEM1B	858	716	795	1084	959	857
FEM1C	144	139	175	194	192	162
FEN1	1008	712	819	910	850	843
FER	207	108	193	159	207	143
FER1L5	0	0	0	0	0	0
FER1L6	0	0	0	0	0	0
FERD3L	0	0	0	0	0	0
FERMT1	35	36	35	31	13	28
FERMT2	590	419	549	542	552	653
FERMT3	0	0	0	0	0	0
FES	0	0	2	1	0	1
FETUB	0	0	0	0	0	0
FEV	0	0	0	0	0	0
FEZ1	1	8	3	10	8	10
FEZ2	189	189	197	224	173	192
FEZF1	22	0	2	15	12	15
FEZF2	0	0	0	0	0	0
FFAR1	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0
FFAR3	0	0	0	0	0	0
FFAR4	10	3	0	5	0	9
FGA	0	0	0	0	0	0
FGB	0	0	0	0	0	0
FGD1	54	18	13	21	9	5
FGD2	0	0	0	0	0	0
FGD3	0	0	1	0	0	3
FGD4	165	98	126	149	165	218
FGD5	1	0	0	0	0	0
FGD6	127	72	114	99	115	66
FGF1	0	0	0	0	0	5
FGF10	0	0	0	0	0	0
FGF11	0	0	0	0	0	0
FGF12	29	10	29	6	21	1
FGF13	147	86	98	129	60	95
FGF14	0	0	0	0	0	0
FGF16	0	2	0	0	0	0
FGF17	0	0	0	0	0	0
FGF18	10	6	27	14	4	7
FGF19	1	0	0	2	0	1
FGF2	91	64	141	93	108	130
FGF20	0	0	0	0	0	1
FGF21	0	1	0	0	1	5
FGF22	0	0	0	0	0	0
FGF23	1	0	0	19	3	22
FGF3	0	0	0	0	0	0
FGF4	0	0	0	0	0	0
FGF5	28	14	12	2	0	18
FGF6	1	3	0	0	0	0
FGF7	0	0	0	0	0	0
FGF8	10	0	1	0	0	0
FGF9	529	367	430	431	473	466
FGFBP1	12	0	8	1	17	0
FGFBP2	0	0	0	0	0	0
FGFBP3	20	13	14	10	0	12
FGFR1	346	181	252	254	290	262
FGFR1OP2	485	458	486	524	480	525
FGFR2	337	283	300	289	315	264
FGFR3	126	116	126	145	112	105
FGFR4	13	1	1	6	5	2
FGFRL1	106	106	101	79	92	69
FGG	0	0	0	0	0	0
FGGY	22	20	32	21	10	11
FGL1	0	0	0	0	0	0
FGL2	0	0	0	0	0	0
FGR	0	0	0	0	0	0
FH	157	138	145	179	207	165
FHAD1	16	4	19	13	17	16
FHDC1	5	6	0	14	0	3
FHIP1A	65	54	27	98	41	41
FHIP1B	78	63	45	145	143	64
FHIP2A	293	168	253	259	233	167
FHIP2B	37	26	47	53	9	27
FHIT	4	1	4	6	17	7
FHL1	380	344	438	476	398	458
FHL2	272	237	223	249	198	338
FHL3	82	91	65	107	76	94
FHL5	0	0	0	0	0	0
FHOD1	194	144	191	162	148	176
FHOD3	13	8	15	22	0	28
FIBCD1	0	0	0	0	0	0
FIBIN	5	3	1	14	8	12
FIBP	50	49	45	58	68	52
FICD	190	139	145	566	443	556
FIG4	81	107	72	128	165	103
FIGLA	0	0	0	0	0	0
FIGN	165	120	171	119	125	88
FIGNL1	423	274	410	504	430	365
FIGNL2	0	0	4	0	0	0
FILIP1	0	6	2	16	1	6
FILIP1L	23	6	48	60	58	36
FIP1L1	425	404	528	496	448	470
FIS1	29	35	13	83	60	59
FITM1	0	0	0	0	0	0
FITM2	89	91	60	82	62	100
FIZ1	48	95	18	63	99	61
FJX1	324	402	400	334	208	284
FKBP10	12	15	33	21	17	22
FKBP11	147	84	135	194	181	177
FKBP14	175	122	159	233	192	178
FKBP15	162	156	100	138	160	156
FKBP1A	567	550	457	517	574	633
FKBP1B	32	32	16	40	23	41
FKBP1C	74	51	48	99	95	66
FKBP2	53	37	47	147	154	110
FKBP3	670	595	653	794	636	584
FKBP4	790	513	631	629	612	504
FKBP5	295	280	282	249	274	309
FKBP6	2	0	0	0	0	0
FKBP7	20	35	56	55	53	59
FKBP8	22	16	12	22	19	17
FKBP9	42	40	35	33	13	32
FKBPL	0	0	0	0	0	0
FKRP	165	188	127	198	100	126
FKTN	170	171	207	258	190	246
FLACC1	0	3	0	0	0	0
FLAD1	461	287	418	431	471	424
FLCN	232	159	185	236	213	155
FLG	0	0	0	0	0	0
FLG2	2	0	0	0	0	0
FLI1	16	22	22	22	27	30
FLII	0	0	3	0	0	0
FLNA	155	123	108	168	140	161
FLNB	138	107	105	108	134	96
FLNC	0	0	0	0	0	0
FLOT1	0	0	0	0	0	0
FLOT2	93	60	91	37	41	46
FLRT1	0	0	0	0	0	1
FLRT2	0	0	0	3	0	0
FLRT3	64	42	49	30	55	28
FLT1	61	33	81	69	73	67
FLT3	0	0	0	0	0	3
FLT3LG	9	0	6	3	0	2
FLT4	241	158	137	209	211	172
FLVCR1	289	264	321	434	353	239
FLVCR2	0	3	1	10	0	0
FLYWCH1	87	69	81	102	77	55
FLYWCH2	36	33	57	65	41	35
FMC1	350	310	274	368	284	303
FMC1-LUC7L2	0	0	0	0	0	0
FMN1	2	0	0	10	3	0
FMN2	282	190	289	279	234	302
FMNL1	2	4	0	0	0	0
FMNL2	130	127	95	160	140	132
FMNL3	20	15	21	19	20	17
FMO1	0	0	0	1	0	0
FMO2	0	0	0	0	0	0
FMO3	0	0	0	0	0	0
FMO4	7	0	0	4	3	13
FMO5	5	0	0	0	0	0
FMOD	0	0	0	0	0	0
FMR1	476	407	454	548	430	381
FMR1NB	0	0	0	0	0	0
FN1	12	18	29	40	17	11
FN3K	0	0	0	0	0	0
FN3KRP	209	182	157	199	212	238
FNBP1	251	203	211	266	208	228
FNBP1L	113	75	156	106	95	113
FNBP4	0	0	0	5	0	0
FNDC1	0	0	0	0	1	0
FNDC10	5	9	6	11	0	3
FNDC11	0	0	0	0	0	0
FNDC3A	225	201	219	374	289	313
FNDC3B	338	273	340	580	615	550
FNDC4	7	6	3	3	16	6
FNDC5	13	8	0	2	4	2
FNDC7	0	0	0	0	0	0
FNDC8	0	0	0	0	0	0
FNDC9	0	0	0	0	0	0
FNIP1	253	169	279	306	417	281
FNIP2	682	456	551	613	541	502
FNTA	178	164	173	237	144	206
FNTB	77	52	35	86	163	117
FOCAD	131	146	132	205	221	174
FOLH1	0	0	0	0	0	0
FOLR1	0	0	0	0	0	0
FOLR2	0	0	0	0	0	0
FOLR3	0	0	0	0	0	0
FOS	52	24	20	57	65	73
FOSB	26	16	2	28	40	86
FOSL1	29	16	3	45	51	12
FOSL2	67	66	84	69	121	75
FOXA1	185	164	164	194	106	147
FOXA2	89	95	109	46	32	64
FOXA3	6	1	0	10	9	1
FOXB1	244	157	188	225	237	231
FOXC1	5939	4512	4658	5093	5645	5201
FOXC2	19	24	36	24	24	30
FOXD1	711	529	479	660	632	559
FOXD2	141	113	75	106	156	93
FOXD3	54	54	64	49	50	52
FOXD4	0	0	9	0	0	1
FOXD4L1	0	0	0	0	0	0
FOXD4L3	0	0	0	0	0	0
FOXD4L4	0	0	0	0	0	0
FOXD4L5	0	0	0	0	0	0
FOXD4L6	0	0	0	0	0	0
FOXE1	64	45	77	85	73	51
FOXE3	0	0	0	0	0	0
FOXF1	24	17	8	14	25	13
FOXF2	264	279	239	340	278	273
FOXG1	206	200	234	280	379	228
FOXH1	0	0	0	0	0	0
FOXI1	0	0	0	0	0	0
FOXI2	0	0	0	0	0	0
FOXI3	19	18	6	6	28	9
FOXJ1	0	0	0	0	0	3
FOXJ2	143	64	90	105	118	144
FOXJ3	389	318	380	447	514	406
FOXK1	228	143	205	169	105	169
FOXK2	803	570	720	750	789	581
FOXL1	7	0	1	0	5	0
FOXL2	0	0	0	0	0	0
FOXL2NB	0	0	1	0	17	1
FOXL3	0	0	0	0	0	0
FOXM1	322	221	286	248	197	204
FOXN1	0	0	0	0	0	0
FOXN2	155	146	80	200	206	136
