RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
AMDHD1	5	2	0	5	0	0
AMDHD2	45	32	45	45	83	50
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	40	37	35	19	20	22
AMER2	0	6	0	6	0	12
AMER3	0	0	0	0	0	0
AMFR	169	145	132	148	117	128
AMH	8	8	11	6	0	1
AMHR2	16	16	6	9	0	4
AMIGO1	33	11	11	23	6	26
AMIGO2	51	26	33	49	26	22
AMIGO3	9	8	56	38	48	63
AMMECR1	143	102	174	89	85	108
AMMECR1L	290	177	241	428	318	400
AMN	0	0	0	0	0	0
AMN1	26	35	20	28	20	19
AMOT	111	96	114	160	99	129
AMOTL1	360	265	322	251	194	152
AMOTL2	388	291	285	444	422	358
AMPD1	3	0	0	0	3	0
AMPD2	150	136	172	155	174	138
AMPD3	6	13	3	12	8	2
AMPH	14	27	32	34	33	26
AMT	13	0	6	1	0	11
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	0	0	0	0	0
AMY2B	0	0	1	0	0	0
AMZ1	0	0	0	0	0	0
AMZ2	199	135	131	140	126	133
ANAPC1	135	128	205	144	190	132
ANAPC10	233	149	255	245	240	280
ANAPC11	273	250	220	221	255	250
ANAPC13	298	216	293	204	238	180
ANAPC15	110	57	58	65	128	65
ANAPC16	316	299	207	329	397	334
ANAPC2	0	0	0	1	0	0
ANAPC4	182	100	193	147	190	204
ANAPC5	485	529	431	527	426	384
ANAPC7	546	390	527	598	601	554
ANG	21	17	11	6	36	23
ANGEL1	64	55	74	65	61	45
ANGEL2	100	97	103	129	77	105
ANGPT1	4	0	6	1	6	0
ANGPT2	2	0	2	0	0	7
ANGPT4	0	0	0	0	0	0
ANGPTL1	0	0	0	0	0	0
ANGPTL2	3	0	0	0	0	0
ANGPTL3	0	0	0	0	0	0
ANGPTL4	0	0	0	0	0	0
ANGPTL5	0	0	0	0	0	0
ANGPTL6	0	0	0	0	0	1
ANGPTL7	0	0	0	0	0	0
ANGPTL8	0	0	0	0	0	0
