rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
ACSM1	0	1	0	0	0	0	0.795414167036932	1	12926.5	-1.05801167206444	4.0804728567969	0.180596245034369	-0.259286535946954
ACSM2A	0	1	1	0	0	0	0.620178858276915	1	10938.5	-1.9991846816659	4.03389283479329	0.355483313060174	-0.495596874667184
ACSM2B	0	0	0	0	0	3	0.544255598020082	1	10063	2.41969014472677	3.99031792543154	0.508789159715199	0.606390315244138
ACSM3	5	13	7	15	8	14	0.594405177424721	1	10644	0.449966604994735	0.84506600538491	10.3157678118994	0.532463265741928
ACSM4	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACSM5	0	0	1	0	0	0	0.795414167036932	1	12926.5	-1.05801167206444	4.0804728567969	0.174887068025805	-0.259286535946954
ACSM6	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACSS1	317	287	306	287	274	256	0.10665353421203	0.281643172348692	4552	-0.252189361217799	0.156307431662568	286.866228085016	-1.61341887929051
ACSS2	108	85	66	100	125	94	0.46478655994508	0.69033925634872	9076	0.210526664900469	0.288002951260139	95.2436627205989	0.730987873489917
ACSS3	61	54	38	70	52	71	0.500658500200673	0.717877810737235	9517	0.24629909377308	0.365725189088394	57.1676731842087	0.673454006236226
ACTA1	17	20	5	0	0	0	5.4672879671517e-05	1	728	-6.34569111162623	1.57278021786886	7.20017075001302	-4.03469667251076
ACTA2	141	129	143	74	135	107	0.0823289102189728	0.23579288760083	4149	-0.477165298363477	0.274654356580269	121.721593926338	-1.73733016400934
ACTB	3109	3362	3437	2975	3244	2791	0.00265555532257777	0.018693290828114	1587	-0.238573815079771	0.0793915184808824	3148.89403426806	-3.00502899610391
ACTBL2	11	8	2	8	9	26	0.281935221803112	1	6937	0.984244247935852	0.914740278567694	10.6149607841777	1.0759821896954
ACTC1	0	0	0	3	0	0	0.566921955728703	1	10345.5	2.28929188112051	3.99813070238363	0.460655441309777	0.572590555820416
ACTG1	44981	40369	45329	37323	37763	36032	3.802145644585e-13	3.27190843415024e-11	129	-0.329318752431388	0.0453455704374059	40225.8801197063	-7.26242385429847
ACTG2	0	3	0	0	0	0	0.513557216526792	1	9653.5	-2.60712243542668	3.99064334020443	0.541788735103108	-0.653308805916273
ACTL10	0	0	5	0	3	0	0.757664871897182	1	12523	-0.872972541628571	2.82928635156528	1.34993570395043	-0.308548670284154
ACTL6A	661	632	623	657	719	626	0.763391503425503	0.885732826999451	12589	-0.0334579054594413	0.111144698952172	649.623275112463	-0.301030150559308
ACTL6B	0	0	3	0	0	4	0.901440557002585	1	14195	0.365443273422789	2.95088859889272	1.20304675036435	0.123841772122443
ACTL7A	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACTL7B	0	0	0	3	0	0	0.566921955728703	1	10345.5	2.28929188112051	3.99813070238363	0.460655441309777	0.572590555820416
ACTL8	66	65	72	75	68	53	0.63583385135553	0.81177591534189	11144	-0.154433471017949	0.32613118224215	66.1495978049318	-0.4735317547872
ACTL9	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACTN1	1640	1158	1353	1519	1487	1421	0.965372503265159	0.984619639723129	14780	0.00394979171379775	0.0909822681034128	1417.48690173913	0.0434127637850083
ACTN2	50	31	53	42	82	56	0.405115016630341	0.636994589180371	8447	0.339314135598169	0.407574341487677	51.7928775875229	0.832520846036693
ACTN3	0	0	0	0	0	4	0.474895105152785	1	9202.5	2.83637243409588	3.9695242074299	0.678385546286932	0.714537129862299
ACTN4	0	1	1	0	1	0	0.78424948064584	1	12794	-1.03648631169502	3.7857606675651	0.513983434333975	-0.273785482683896
ACTR10	583	457	476	655	667	513	0.155174457938359	0.361041116300797	5269	0.180170899626872	0.126747949639198	552.145430455429	1.42148965833174
ACTR1A	1422	1359	1133	1360	1203	1261	0.180139257176114	0.395906928115628	5622	-0.128696961272565	0.0960191209728844	1283.94676846006	-1.34032638466779
ACTR1B	540	459	408	418	475	465	0.318469103251962	0.557016736908271	7389	-0.140309488892441	0.140645804343005	458.785528387113	-0.997608777224924
ACTR2	2925	2632	2965	2829	2617	2289	0.000561390570256255	0.00568094505051476	1102	-0.239003923955888	0.0692842701382644	2698.20354451245	-3.4496130720426
ACTR3	1237	1045	1293	1349	1357	1102	0.940560622082742	0.9737079645062	14541	-0.00718748826547809	0.0963919262796794	1221.44295788664	-0.0745652519135651
ACTR3B	76	74	86	64	97	62	0.570834661126203	0.76996545929402	10405	-0.181672452248126	0.320510203959131	76.2535431302759	-0.566822678354699
ACTR3C	6	5	5	1	0	2	0.119919980203968	1	4765	-2.48884407334671	1.60043005890372	3.22797662604836	-1.55510955289827
ACTR5	190	143	141	232	187	152	0.430714137193446	0.661207768239866	8708	0.171982690240358	0.218260399077588	171.85735720136	0.787970199666046
ACTR6	555	516	502	698	710	676	0.00549095552647685	0.0328421860449459	1879	0.310697343221966	0.111893436854524	603.940311354641	2.77672535544612
