,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
RBMS1,-0.176166276425489,0.32466689270309,-0.466572214590901,0.132769828542605,RBMS1,ns,0
RBPMS,0.144105268582713,0.546981118152638,0.139149987571441,0.659648459568106,RBPMS,ns,0
RBX1,0.0350680533056017,0.885634114710787,0.0727857510671558,0.798667072857199,RBX1,ns,0
RC3H1,0.0714315489916564,0.767173983571637,-0.247121524890487,0.460628837220273,RC3H1,ns,0
RC3H2,-0.13275376735894,0.482421072740728,-0.11137665393317,0.28592183947714,RC3H2,ns,0
RCAN3,-0.171921940416108,0.476295286442287,-0.178994035168905,0.570137975444502,RCAN3,ns,0
RCBTB1,-0.0378284056350314,0.876687488097914,0.0519105350679254,0.818500349935529,RCBTB1,ns,0
RCC1,-0.151454543156659,0.42972434600141,-0.0562050186821224,0.870278802393244,RCC1,ns,0
RBSN,0.162183409099934,0.426645076812818,0.252955996572157,0.417444732840345,RBSN,ns,0
RBM8A,-0.240458579519151,0.0370114586994125,-0.0273078567006034,0.902148583848325,RBM8A,ns,0
RBM7,-0.0293100222981558,0.925272290421084,-0.0533828644594565,0.892037787571608,RBM7,ns,0
RBM6,0.0367700472751355,0.889335795942078,0.0934966664079571,0.807619913654903,RBM6,ns,0
RBM27,-0.121198698928999,0.566527671486103,-0.852379724048588,0.0506779264607621,RBM27,ns,0
RBM28,-0.143631829461764,0.51367186072914,-0.383690526699223,0.24399997016642,RBM28,ns,0
RBM3,0.354289279522875,0.0026953624504141,0.255174081282863,0.178326077581599,RBM3,ns,0
RBM33,0.0290436622241293,0.920466087660103,0.0574087668673826,0.886338988425811,RBM33,ns,0
RBM34,0.206066313387629,0.161942476917127,0.719155610416532,1.37373787051487e-07,RBM34,ns,0
RBM38,-0.261337062306885,0.220246767793073,-0.399911562043045,0.192811098194415,RBM38,ns,0
RBM4,0.0092404156751162,0.972336321414676,0.289146221072275,0.0942374542871174,RBM4,ns,0
RBM41,0.0250354114583636,0.932206497772684,0.160119768085232,0.638514300705111,RBM41,ns,0
RBM42,0.132131358599459,0.59093356077378,-0.0006367712129187,0.999829998437636,RBM42,ns,0
RBM43,0.489832902703196,0.116121174728628,0.0589413776903156,0.821981108926236,RBM43,ns,0
RBM45,-0.112900208188145,0.631541698012528,-0.11395800835321,0.388225414795899,RBM45,ns,0
RBM47,0.236623560402711,0.349358009200555,0.0363348631266714,0.931220208247715,RBM47,ns,0
RBM48,-0.0020665855211891,0.994939067209475,0.767795796105706,0.0691348565598843,RBM48,ns,0
RBM4B,-0.0621009690581486,0.817756566120434,-0.218459223586311,0.492888258126928,RBM4B,ns,0
RBM5,0.0910874006129442,0.657914271778009,0.680853145718934,0.054364877692532,RBM5,ns,0
RBM25,-0.151087247736892,0.259546369191758,-0.184552828489165,0.324802765997747,RBM25,ns,0
RABEP1,-0.0505495734849067,0.822229401975415,0.140021878939871,0.595924732798527,RABEP1,ns,0
RASGRF2,-0.0239793063113361,0.931795093488646,-0.153017102456824,0.242599482975252,RASGRF2,ns,0
RASEF,0.0076526651099504,0.983192890705554,0.161917486566035,0.625957077505211,RASEF,ns,0
RAD51C,0.126395799778483,0.506953179103735,0.33927651665738,0.203754168497423,RAD51C,ns,0
RAD51D,0.0276888273255757,0.928579232416374,-0.0791190616785676,0.781304390992161,RAD51D,ns,0
RAD52,0.911079295732694,0.0130380014131869,0.659596868466068,0.135380014696612,RAD52,ns,0
RAD54B,0.158263065924416,0.477458870593844,0.39236812940436,0.235560492366227,RAD54B,ns,0
RAD54L,0.221711547481263,0.348215981251074,0.732296291024877,0.0529499328544297,RAD54L,ns,0
RAD54L2,-0.279012719552576,0.254752712151933,-0.414514887504021,0.0998533345965913,RAD54L2,ns,0
RAD51B,0.174865177961246,0.307790414750415,-0.0060841762123362,0.988087831995163,RAD51B,ns,0
RAD9A,0.204886245515296,0.345361674680232,0.412878187671508,0.242582598207337,RAD9A,ns,0
RADX,0.20595557706546,0.396433098040825,-0.184091823016081,0.391097264479744,RADX,ns,0
RAE1,0.279167719180127,0.121085442479136,0.385986301081915,0.0504776694170197,RAE1,ns,0
RAF1,0.149266567807933,0.430460019472552,-0.111335965552417,0.753623953807273,RAF1,ns,0
RAI1,0.0299430023609255,0.919967774594388,0.0796320146802285,0.841423768782052,RAI1,ns,0
RAI14,0.222086426361642,0.0813727315071316,-0.250285100018373,0.249103746674391,RAI14,ns,0
RALA,0.0039333694342522,0.992479824586869,-0.297949425644189,0.32731900868088,RALA,ns,0
RADIL,-0.0064210481170209,0.981838944881337,0.105543670201286,0.595047286428659,RADIL,ns,0
RAD51AP1,0.614910627429866,5.03177492602114e-05,0.424855073913296,0.106614544256772,RAD51AP1,ns,0
RAD51,0.161431041958296,0.520056075389205,0.527823994846523,0.164031583778938,RAD51,ns,0
RAD50,-0.0187348844218949,0.933318558987856,-0.0186634544739287,0.966850033350254,RAD50,ns,0
RABEPK,0.0640383083357687,0.819666473246753,-0.222970264213134,0.501315362387377,RABEPK,ns,0
RABGAP1,-0.0578496637347853,0.814977366324514,-0.0160153682091744,0.972574803970993,RABGAP1,ns,0
RABGAP1L,0.148617840706546,0.458416663215819,-0.0993326347817881,0.770447557443453,RABGAP1L,ns,0
RABGEF1,0.0208235577091663,0.945862573948566,0.83740322700231,0.0461969226500462,RABGEF1,ns,0
RABIF,0.0990772598628183,0.696517259571015,0.199794489957145,0.50505791398738,RABIF,ns,0
RABL2A,-0.0919761882189896,0.714439403947773,-0.0575322404618972,0.720986923866777,RABL2A,ns,0
RABL2B,-0.0673853522953469,0.80979147702086,-0.180825827929515,0.526314358794512,RABL2B,ns,0
RABL3,-0.0286317591158915,0.925266248204889,0.0180352974942347,0.970914259209045,RABL3,ns,0
RABL6,-0.15338682963189,0.531619358998182,-0.246807500992412,0.451246613013149,RABL6,ns,0
RACGAP1,-0.17450628475678,0.467816316298945,0.102897637145506,0.764222278952177,RACGAP1,ns,0
RAD1,0.0835277283349497,0.687239721737392,0.0117288860560977,0.974235522066585,RAD1,ns,0
RAD18,0.130398123678311,0.507655978930033,0.350743992016472,0.190250697119872,RAD18,ns,0
RAD21,-0.0907608790130575,0.647858885041143,0.110607367385927,0.711655285974124,RAD21,ns,0
RAD23A,-0.288429430034923,0.169200957381268,-0.376077785493922,0.232727138339804,RAD23A,ns,0
RAD23B,-0.210380710721706,0.22534453294007,-0.407103426625164,0.0877039929357693,RAD23B,ns,0
RALB,-0.258852718464979,0.246485024566323,0.0142105615571746,0.94844310106003,RALB,ns,0
RASGEF1B,0.550806727259976,0.0399059405481131,0.0263601413950625,0.955952698079624,RASGEF1B,ns,0
RALBP1,0.0492072415567224,0.864967051063781,-0.243153961308793,0.465951370984552,RALBP1,ns,0
RALGAPA2,-0.126689324762933,0.605874397146193,-0.17180158045565,0.497916739584841,RALGAPA2,ns,0
RAP1GDS1,0.408624071038231,0.049025177553533,-0.152396692336079,0.663318529480975,RAP1GDS1,ns,0
RAP2B,-0.131434602157545,0.586307512858654,-0.208674443202797,0.527348443352692,RAP2B,ns,0
RAP2C,0.107279277336021,0.677886418968988,-0.108737444185339,0.768378037297369,RAP2C,ns,0
RAPGEF1,-0.290863637127201,0.219459019488829,-0.0892668612442616,0.815624928611115,RAPGEF1,ns,0
RAPGEF2,0.145887783902023,0.55720850762554,0.068162467146564,0.862523889759139,RAPGEF2,ns,0
RAPGEF5,0.057680260052901,0.836279814552349,0.0617304888609636,0.793362407480592,RAPGEF5,ns,0
RAP1GAP2,-0.0945161549404442,0.718786794500819,-0.215018443325141,0.505492127047186,RAP1GAP2,ns,0
RAPGEF6,0.159672817762359,0.476295286442287,0.0658111340012103,0.863024687209474,RAPGEF6,ns,0
RARA,0.104617454632259,0.654123540500692,0.445871691363378,0.212019098792146,RARA,ns,0
RARS1,0.0341152067572609,0.88396390919313,0.380398117583148,0.0819072129939831,RARS1,ns,0
RARS2,0.0019579030511118,0.994939067209475,0.220189591127621,0.499390937695902,RARS2,ns,0
