rownames(count),DMSO.GFP.1,DMSO.GFP.2,DMSO.GFP.3,TPG.GFP.1,TPG.GFP.2,TPG.GFP.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
ST13,281,212,369,150,269,189,0.112329771522108,0.420949967605418,2991.0,-0.381426631409959,0.240222143743239,234.792953562547,-1.58780795752804,0,7.875245301745206,ns
ST20,140,136,181,73,129,87,0.0726706225455413,0.336247780419596,2364.0,-0.559152619490619,0.31152406936146,120.08175151547,-1.79489379628589,0,6.907873115185852,ns
ST20-MTHFS,229,167,169,84,261,204,0.923984732947841,0.980616804537994,13119.0,0.0303437391686594,0.318016572865585,178.219145905729,0.0954155907512552,0,7.477508522254702,ns
ST3GAL1,30,53,86,48,53,47,0.899988357035729,0.974172965397157,12848.0,-0.0637074318281442,0.506917820703661,52.1916905885342,-0.125676054828198,0,5.705748229250317,ns
ST3GAL2,291,226,235,171,212,184,0.241351828798356,0.595510069331442,4776.0,-0.278602871277281,0.237793959124398,214.899573642117,-1.17161458728031,0,7.747518810255574,ns
ST3GAL3,58,42,59,24,74,83,0.566316192057349,0.840727131359934,8857.0,0.28159275023951,0.491020050792912,54.4819505142002,0.573485237078989,0,5.7677064492430565,ns
ST3GAL4,15,20,30,6,29,6,0.449102309938924,1.0,7327.0,-0.649445916936818,0.858019851962002,16.6722565434385,-0.756912460069256,0,4.059377477178497,ns
ST3GAL5,44,45,81,15,30,50,0.199081121911436,0.550743905964952,4217.0,-0.72018557336564,0.560816244561905,42.3776150937656,-1.28417388110473,0,5.405230493611784,ns
ST3GAL6,74,71,119,20,68,63,0.120316201562101,0.436563186821294,3106.0,-0.722668647666906,0.465203058993959,65.7497566141224,-1.55344775511524,0,6.038913648877876,ns
ST6GAL1,24,1,72,30,20,32,0.951510149405839,0.98814669849051,13411.0,0.053148886387365,0.874008762791447,28.3705264165999,0.0608104731325757,0,4.826321015029849,ns
ST6GALNAC3,37,27,58,23,36,56,0.910758316180604,0.976363300520425,12974.0,0.0623600027703507,0.556377932108151,38.1837265955926,0.112082092354139,0,5.254886006393394,ns
ST6GALNAC4,26,11,34,53,15,20,0.409179044457707,0.749878821769081,6839.0,0.609713163862676,0.738742527094963,27.0339703859688,0.825339196675623,0,4.7567015059644495,ns
ST6GALNAC6,25,22,22,23,31,27,0.579499441570603,1.0,9001.0,0.347624419760183,0.627349511905138,24.6808544405273,0.554116028088579,0,4.625320435718838,ns
ST7,224,102,151,100,172,193,0.727051969598703,0.911993640647194,10779.0,0.109388341269033,0.313388979933163,151.011502753656,0.349049737780704,0,7.238514635574147,ns
ST7L,37,27,13,8,15,16,0.248786634092142,1.0,4875.0,-0.894179192547842,0.77532124396463,18.7770966521567,-1.15330155017477,0,4.2309021030682565,ns
ST8SIA4,10,13,49,30,26,54,0.256729732664483,0.612645114400969,4972.0,0.805623988247026,0.710329999767648,30.0613730387212,1.13415453171139,0,4.909839000047015,ns
STAC,31,11,34,3,17,7,0.111283693436689,1.0,2970.0,-1.39150735160209,0.873815568139398,15.5955836179789,-1.59244971403405,0,3.963065637147962,ns
STAG1,124,148,121,100,169,153,0.572165122365301,0.843513167478296,8924.0,0.179292518867453,0.317407345107747,134.176022472462,0.564865689565533,0,7.0679830718140035,ns
STAG2,1276,950,1257,825,1421,1036,0.830265457506449,0.949555034549252,11997.0,0.028713655879259,0.133949923744195,1092.54590490136,0.214361121504584,0,10.093478182586788,ns
STAM,287,232,348,304,364,259,0.275043398999527,0.631096891317442,5199.0,0.239896117197282,0.219781358744636,293.609856222102,1.09152167666784,0,8.197756588759928,ns
STAM2,49,49,38,28,20,56,0.663353004017189,0.888980789837809,10024.0,-0.252395030475201,0.579833854515471,39.9320542877763,-0.435288537414068,0,5.3194753876084535,ns
STAMBP,390,336,448,355,500,315,0.556351501030644,0.836143133586354,8731.0,0.117576986276969,0.199869298193416,381.968688608318,0.588269370732412,0,8.577310569813385,ns
STAMBPL1,106,82,86,51,48,52,0.0745733044203805,0.34044639069661,2398.0,-0.711801465852251,0.399197748745742,69.1713677802182,-1.78307985976547,0,6.112103079142954,ns
STARD10,5,1,7,7,3,1,0.965467747675089,1.0,13560.0,0.0697006815024265,1.60996535436369,3.9275938269246,0.0432932803886171,0,1.973645740706473,ns
STARD13,160,156,158,84,124,129,0.19839891159657,0.550340535076166,4203.0,-0.386585328512529,0.300581104446606,132.17437893493,-1.28612651558475,0,7.046298737529315,ns
STARD3,183,129,215,126,103,85,0.0798312371090819,0.351575611253946,2495.0,-0.564275242189667,0.322136301037215,136.353403513507,-1.75166611267595,0,7.091206901548074,ns
STARD3NL,206,67,82,61,103,52,0.191208670046907,0.543023687948633,4098.0,-0.563240987692147,0.430937918595543,89.7479490173491,-1.30701189982954,0,6.4878070647276855,ns
STARD4,146,82,135,208,328,267,3.07482963494153e-07,2.07636412292857e-05,144.0,1.2854059240016,0.251114613520804,191.197539886004,5.11880175342764,0,7.578920150242468,up
STARD5,21,13,29,36,61,36,0.0355395537776861,0.223710102727138,1688.0,1.21532294060937,0.578131476242726,31.9249002741781,2.10215667292109,0,4.996610208185027,ns
STARD7,1536,1363,1756,981,1399,1166,0.0327432630177121,0.213035593713206,1631.0,-0.272614472770904,0.127675281841795,1330.57220530908,-2.13521731723066,0,10.377831086953686,ns
STAT1,181,111,185,114,158,218,0.527292758399457,0.821171489858475,8403.0,0.189496932358013,0.299768596522977,156.693796055553,0.632144042291263,0,7.291804250395231,ns
STAT2,20,10,13,10,35,40,0.148508931137852,1.0,3509.0,1.08677547290207,0.752188339123406,20.5541432473631,1.44481829400412,0,4.361357332586305,ns
STAT3,223,149,123,216,167,167,0.317145541660745,0.673823493103812,5695.0,0.319686227522481,0.31957727128939,174.32660445758,1.00034093861761,0,7.445648949657527,ns
STAT5B,53,11,46,31,78,33,0.384631130503389,0.729444973112198,6510.0,0.521760130746253,0.600141645159691,39.3872279778226,0.869394975260246,0,5.299655980400528,ns
STAU1,810,551,904,445,685,602,0.114243270071027,0.42449429047408,3023.0,-0.250708868798269,0.158736311067583,641.800492031583,-1.57940465613774,0,9.325981085426312,ns
STAU2,105,91,91,59,98,77,0.587118724668267,0.851541655791122,9112.0,-0.193035928978542,0.35548841507572,84.6180280120975,-0.543016089391901,0,6.402893159566288,ns
