baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABO	0	NA	NA	NA	NA	NA
ABR	1.1218443686702	4.97301238441495	6.13289606963635	0.810875046299264	0.41743743181805	0.903861752910188
ABRA	0	NA	NA	NA	NA	NA
ABRACL	1084.92233649203	0.286434055200099	0.152017985369091	1.88421162472753	0.0595363557532522	0.454312447778725
ABRAXAS1	88.1944117058939	0.207614034950403	0.726356783067426	0.285829278104409	0.775008882517291	0.977835308485984
ABRAXAS2	320.552512205879	-0.112174351165896	0.324554536355038	-0.345625583994875	0.729624116354535	0.977835308485984
ABT1	674.619271745492	0.424754815769588	0.236719166526312	1.79434061889693	0.0727588185746491	0.495397056110556
ABTB1	3.71080646283064	0.390110800754066	2.6257957787862	0.148568599243616	0.881894052145551	0.984895593068902
ABTB2	94.125727785717	-0.216633560805009	0.569885038182498	-0.380135547155099	0.70384480003834	0.977835308485984
ACAA1	260.603675592004	0.217473649109931	0.299000947627158	0.72733431394041	0.467021182530016	0.930232956651025
ACAA2	660.307585070587	0.573437564045995	0.238308171691722	2.40628577683773	0.0161156525962275	0.237576417046626
ACACA	28.4856135176609	0.842205683349143	1.0962940759039	0.768229713049155	0.442350723827788	0.91690614128601
ACACB	26.7949276026114	0.686803923763408	1.35684017532209	0.506178941525205	0.612731036829667	0.977835308485984
ACAD10	80.6897850151709	1.02407202712332	0.546944486571846	1.87235094651384	0.0611580667255125	0.458837031825698
ACAD11	272.488034785335	1.1940030657263	0.302631228655627	3.94540600132511	7.96648797110206e-05	0.00641556531289815
ACAD8	150.750761048859	-0.644003834332821	0.660588886152998	-0.974893534893144	0.329613073381618	0.850490239025347
ACAD9	364.373956626604	0.515165836874133	0.301402746932322	1.70922741122134	0.0874088332252093	0.529710176944046
ACADL	23.0304132017437	-1.91144759109058	1.41622571809216	-1.34967722070854	0.177119542267999	0.695654891715947
ACADM	1339.23365070293	0.136157709691801	0.161137928795536	0.844976168612466	0.398124144972371	0.894033219315802
ACADS	94.8468886161709	0.123340870341319	0.536069619272288	0.230083679259335	0.81802674677329	0.977835308485984
ACADSB	265.468344268417	-0.0207420825704099	0.324376643541419	-0.0639444392295198	0.949014467271829	0.991816425564769
ACADVL	409.548737175048	0.180701081589832	0.29990929382599	0.60251911264436	0.546828644785387	0.963569097072947
ACAN	0.0748119313196812	-0.634590537966634	6.23199973239054	-0.10182775436725	0.918893395350575	NA
ACAP1	0	NA	NA	NA	NA	NA
ACAP2	279.017163164242	0.397655504591426	0.271325736674491	1.46560186094139	0.142756783998468	0.649457838372614
ACAP3	93.1916613780431	-0.0636616148663501	0.517178288061018	-0.123094136656485	0.902032554241423	0.988761430003992
ACAT1	1076.14103647906	0.4231257164838	0.16669691079377	2.53829368804124	0.0111394460527426	0.199351315884779
ACAT2	2612.2511495613	0.344057003556292	0.101073985859005	3.40401143412155	0.000664039736609882	0.0321200051510339
ACBD3	881.639390494038	0.126797518780926	0.202347424332443	0.62663272932304	0.530900009073383	0.95733994013471
ACBD4	48.6212936200597	-0.0772441072036232	0.854839198858201	-0.0903609793593898	0.928000363759401	0.991816425564769
ACBD5	651.529804396945	-0.0167516308560611	0.179805942279766	-0.0931650569701236	0.92577243411397	0.991735275771988
ACBD6	745.748964510503	-0.0563807161951019	0.193508421089396	-0.291360530346405	0.770775597868344	0.977835308485984
ACBD7	297.466904633648	-0.0891129030727097	0.325688038088862	-0.273614295433214	0.784381046934676	0.977835308485984
