gene_name	DMSO-Total-1	DMSO-Total-2	DMSO-Total-3	TPG-Total-1	TPG-Total-2	TPG-Total-3
ABHD14B	72	78	47	27	48	59
ABHD15	120	131	186	124	56	101
ABHD16A	5	2	0	4	0	4
ABHD16B	0	0	0	0	0	0
ABHD17A	39	37	30	41	79	53
ABHD17B	311	316	362	310	359	399
ABHD17C	285	233	255	257	313	257
ABHD18	414	347	324	348	454	391
ABHD2	799	621	683	673	556	649
ABHD3	344	295	378	273	361	318
ABHD4	116	88	99	84	109	172
ABHD5	435	475	468	525	540	509
ABHD6	84	113	63	103	57	54
ABHD8	157	90	95	151	155	131
ABI1	531	550	559	637	551	557
ABI2	1568	1349	1453	1452	1387	1389
ABI3	0	0	0	0	0	0
ABI3BP	92	96	83	94	94	124
ABITRAM	215	183	169	304	261	210
ABL1	347	200	253	293	357	351
ABL2	893	754	853	965	743	745
ABLIM1	1046	900	873	1008	834	841
ABLIM2	4	0	5	10	14	20
ABLIM3	4	3	1	20	0	0
ABO	0	0	0	0	0	0
ABR	9	3	3	0	0	0
ABRA	0	0	0	0	0	0
ABRACL	958	989	956	738	718	724
ABRAXAS1	111	51	59	121	150	92
ABRAXAS2	437	249	380	454	640	412
ABT1	577	555	563	576	436	638
ABTB1	5	1	15	8	2	4
ABTB2	75	82	124	152	124	126
ACAA1	254	249	228	207	272	191
ACAA2	618	606	505	530	569	578
ACACA	42	38	62	29	26	49
ACACB	44	42	36	46	58	39
ACAD10	135	99	122	116	143	94
ACAD11	312	257	280	333	192	271
ACAD8	233	137	133	167	229	196
ACAD9	462	358	289	377	462	421
ACADL	14	42	2	18	37	28
ACADM	1390	1207	1290	1442	1385	1125
ACADS	103	61	69	70	142	113
ACADSB	334	349	372	309	290	299
ACADVL	419	265	423	396	373	271
ACAN	0	0	0	0	0	1
ACAP1	0	0	0	0	0	0
ACAP2	420	345	391	468	433	440
ACAP3	142	82	65	123	159	87
ACAT1	1027	1099	981	1021	890	895
ACAT2	2495	2127	2191	2213	2104	1996
ACBD3	1023	870	1016	1442	1149	1250
ACBD4	93	56	69	79	70	64
ACBD5	790	678	772	889	808	827
ACBD6	763	790	724	818	670	660
ACBD7	441	365	330	418	261	413
ACCS	16	11	14	10	26	21
ACCSL	0	0	0	0	0	0
ACD	266	314	281	301	294	312
ACE	39	36	49	26	20	11
ACE2	0	2	0	0	0	0
ACER1	0	0	0	0	0	0
ACER2	0	2	0	0	0	13
ACER3	536	481	569	642	614	567
ACHE	22	2	6	6	0	4
ACIN1	1734	1463	1700	1736	1776	1600
ACKR1	0	0	0	0	0	0
ACKR2	0	4	2	0	0	0
ACKR3	0	0	0	0	0	0
ACKR4	0	0	0	3	0	0
ACLY	4675	4257	4618	4359	4630	3967
ACMSD	0	0	0	0	0	0
ACO1	173	126	172	196	160	190
ACO2	1281	922	1096	1158	1127	1140
ACOD1	0	0	0	0	0	0
ACOT1	0	0	0	0	0	0
ACOT11	10	25	5	22	1	12
ACOT12	0	0	0	2	0	0
ACOT13	625	603	544	555	681	446
ACOT2	697	584	519	653	600	538
ACOT4	0	0	0	0	0	0
ACOT6	0	0	0	0	0	0
ACOT7	1206	1139	1120	1204	1023	1179
ACOT8	389	296	308	388	317	365
ACOT9	417	312	343	518	662	402
ACOX1	985	654	828	744	684	788
ACOX2	6	4	0	13	0	11
ACOX3	46	35	21	41	105	26
ACOXL	59	64	78	27	26	27
ACP1	1560	1438	1319	1691	1561	1513
ACP2	252	255	199	320	277	266
ACP3	9	1	2	15	9	25
ACP4	0	0	0	0	0	0
ACP5	0	0	0	0	0	0
ACP6	491	400	507	524	548	538
ACP7	0	0	0	1	0	0
ACR	0	0	0	0	0	0
ACRBP	0	0	2	0	0	1
ACRV1	0	0	0	0	0	0
ACSBG1	6	0	4	10	5	1
ACSBG2	5	0	0	0	0	0
ACSF2	20	30	43	19	65	18
ACSF3	131	145	148	175	185	153
ACSL1	247	191	283	245	270	190
ACSL3	1873	1786	1846	2139	1950	1834
ACSL4	282	269	339	333	295	257
ACSL5	0	1	0	0	1	0
ACSL6	27	45	26	29	31	42
ACSM1	0	1	0	0	0	0
ACSM2A	0	1	1	0	0	0
ACSM2B	0	0	0	0	0	3
ACSM3	5	13	7	15	8	14
ACSM4	0	0	0	0	0	0
ACSM5	0	0	1	0	0	0
ACSM6	0	0	0	0	0	0
ACSS1	317	287	306	287	274	256
ACSS2	108	85	66	100	125	94
ACSS3	61	54	38	70	52	71
ACTA1	17	20	5	0	0	0
ACTA2	141	129	143	74	135	107
ACTB	3109	3362	3437	2975	3244	2791
ACTBL2	11	8	2	8	9	26
ACTC1	0	0	0	3	0	0
ACTG1	44981	40369	45329	37323	37763	36032
ACTG2	0	3	0	0	0	0
ACTL10	0	0	5	0	3	0
ACTL6A	661	632	623	657	719	626
ACTL6B	0	0	3	0	0	4
ACTL7A	0	0	0	0	0	0
ACTL7B	0	0	0	3	0	0
ACTL8	66	65	72	75	68	53
ACTL9	0	0	0	0	0	0
ACTN1	1640	1158	1353	1519	1487	1421
ACTN2	50	31	53	42	82	56
ACTN3	0	0	0	0	0	4
ACTN4	0	1	1	0	1	0
ACTR10	583	457	476	655	667	513
